PASSENGERS,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME
0,Alaska Airlines Inc.,10299,ANC,"Anchorage, AK",10926,CDV,"Cordova, AK"
0,Alaska Airlines Inc.,10299,ANC,"Anchorage, AK",11336,DLG,"Dillingham, AK"
0,Alaska Airlines Inc.,10299,ANC,"Anchorage, AK",12523,JNU,"Juneau, AK"
0,Alaska Airlines Inc.,10299,ANC,"Anchorage, AK",13873,OME,"Nome, AK"
0,Alaska Airlines Inc.,10299,ANC,"Anchorage, AK",13970,OTZ,"Kotzebue, AK"
0,Alaska Airlines Inc.,10299,ANC,"Anchorage, AK",14709,SCC,"Deadhorse, AK"
0,Alaska Airlines Inc.,10299,ANC,"Anchorage, AK",14747,SEA,"Seattle, WA"
0,Alaska Airlines Inc.,10299,ANC,"Anchorage, AK",14828,SIT,"Sitka, AK"
0,Alaska Airlines Inc.,10397,ATL,"Atlanta, GA",15016,STL,"St. Louis, MO"
0,Alaska Airlines Inc.,10551,BET,"Bethel, AK",10299,ANC,"Anchorage, AK"
0,Alaska Airlines Inc.,10559,BFI,"Seattle, WA",14747,SEA,"Seattle, WA"
0,Alaska Airlines Inc.,10630,BJC,"Broomfield, CO",14057,PDX,"Portland, OR"
0,Alaska Airlines Inc.,10754,BRW,"Barrow, AK",10299,ANC,"Anchorage, AK"
0,Alaska Airlines Inc.,10754,BRW,"Barrow, AK",14709,SCC,"Deadhorse, AK"
0,Alaska Airlines Inc.,10800,BUR,"Burbank, CA",14771,SFO,"San Francisco, CA"
0,Alaska Airlines Inc.,10926,CDV,"Cordova, AK",14747,SEA,"Seattle, WA"
0,Alaska Airlines Inc.,10926,CDV,"Cordova, AK",15991,YAK,"Yakutat, AK"
0,Alaska Airlines Inc.,11336,DLG,"Dillingham, AK",10299,ANC,"Anchorage, AK"
0,Alaska Airlines Inc.,11603,EUG,"Eugene, OR",14057,PDX,"Portland, OR"
